cod_item;descricao;unidade;unitario_lpu;fonte;data_referencia;composicao;fornecedor;observacoes
HVAC004;Dreno para condensado ar condicionado;un;95.0;Pesquisa de Mercado;2025-11;;;
HVAC005;Instalação e mão de obra ar condicionado;un;650.0;Pesquisa de Mercado;2025-11;;;
SEG001;Câmera IP 4MP dome infravermelha;un;785.0;Fornecedor Especializado;2025-11;;Intelbras/Hikvision;
SEG002;DVR 16 canais com HD 2TB;un;2280.0;Fornecedor Especializado;2025-11;;Intelbras/Hikvision;
SEG003;Sensor de presença infravermelho;un;218.0;Fornecedor Especializado;2025-11;;Intelbras/JFL;
SEG004;Central de alarme monitorada 12 zonas;un;1485.0;Fornecedor Especializado;2025-11;;Intelbras/JFL;
SEG005;Porta corta-fogo 90min 0,90x2,10m;un;3850.0;Fornecedor Especializado;2025-11;;Portas Especiais;
SEG006;Extintor PQS 6kg c/ suporte;un;142.0;Pesquisa de Mercado;2025-11;;;
SEG007;Iluminação de emergência LED;un;185.0;Fornecedor Especializado;2025-11;;Legrand/Schneider;
SEG008;Controle de acesso biométrico;un;2280.0;Fornecedor Especializado;2025-11;;Control iD/Intelbras;
MOB001;Balcão de atendimento MDF padrão Itaú;m;1485.0;Contrato Itaú Unibanco;2025-11;;Marcenaria homologada;
MOB002;Guichê de caixa blindado padrão bancário;un;6850.0;Contrato Itaú Unibanco;2025-11;;Fabricante especializado;
MOB003;Mesa gerente L 1,40m com gaveteiro;un;1950.0;Fornecedor Especializado;2025-11;;Corporativa Móveis;
MOB004;Cadeira executiva presidente giratória;un;985.0;Fornecedor Especializado;2025-11;;Cavaletti/Flexform;
MOB005;Cadeira interlocutor fixa;un;385.0;Fornecedor Especializado;2025-11;;Cavaletti/Flexform;
MOB006;Armário alto 2 portas 0,80x1,80m;un;1150.0;Fornecedor Especializado;2025-11;;Corporativa Móveis;
MOB007;Estação de trabalho lineares 4 posições;un;4680.0;Fornecedor Especializado;2025-11;;Corporativa Móveis;
MOB008;Cofre eletrônico 500kg padrão bancário;un;12500.0;Contrato Itaú Unibanco;2025-11;;Fichet/Chubb;
LMP001;Limpeza fina pós-obra;m²;14.2;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 6122;;
LMP002;Polimento de porcelanato;m²;21.5;Pesquisa de Mercado;2025-11;;;
LMP003;Lavagem de vidros e fachada;m²;17.8;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 6129;;
